,Bcl11b,Cadps2,Calb1,Calb2,Cck,Cdh13,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Cxcl14,Enpp2,Gabrd,Gad1,Gda,Grin3a,Hapln1,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Ndnf,Neurod6,Nos1,Nov,Npy2r,Nr4a2,Nrn1,Ntng1,Pcp4,Pde1a,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Rab3c,Rasgrf2,Reln,Rgs10,Rgs12,Rgs4,Satb1,Sema3c,Serpini1,Slc17a8,Snca,Sncg,Sst,Synpr,Tac1,Tac2,Th,Thsd7a,Trp53i11,Vip,Wfs1,Yjefn3
cell_1,0,0,0,0,0.868853266,1.54E-08,0,3.27E-05,2.945432272,6.11E-10,0,0,0.442005295,0,0,0,1.923513478,1.037007997,0,0,9.63E-12,0,0.93127619,0,0,0.024098362,0,0,0,0,1.94402679,0,0,0,0,0.678490632,0,0,0,1.36488326,3.656164204,1.93901815,0,0.944558702,0,0,0,0,0,0.849148506,2.924901517,1.913168293,0.000593907,0.002512137,0.974487444,0,8.55E-10,0,5.78E-06,0.798018233,1.893004036,0,0,0,0,0,2.834259254,0,0,0
cell_2,0,0,0,0.000261836,2.28E-05,0.785556965,0,7.76E-07,0.012295027,0,0,0,3.627984802,0,0,0,0.000488217,0.003400838,1.32E-13,0,0,0,0.001580186,0,0,1.889180393,0,0,0,0,0.972319429,0,0,0,0,0.000398645,0,0,0.012005899,0.133674501,0.286230102,0.007987208,0,0.982545663,0,0,0,0,0,0.000185641,0.105872879,0.005428584,0.853702933,0.766787215,1.02095059,0,0,0,2.683992694,3.702024637,0.004613582,0,0,0,0,0,0.665464949,0,4.23E-14,0
cell_3,0,0,0,0,0.00101464,0.939455196,0,1.064353041,1.53503505,0.898273458,0,3.55E-06,0.164480279,0.000172985,0,0,5.84E-07,2.127152969,0,0,0.952405043,0,5.81E-06,0,0,0,0,0,0.0029561,0,0.968272305,0,0,3.06E-06,0,0.000858144,0,0,0,1.891477835,0.004064095,3.37E-06,0,0.000616081,0,0,0,0,0,0.051703684,1.12E-07,7.44E-06,0,1.809746925,0.810370107,0,0.944571731,0.000369324,1.925255529,0.163344604,1.89E-05,0,0,0,0,0,0.965208622,0,0.006906392,0.00436495
cell_4,0,1.36E-11,0,0.789731578,0,0.867842207,0,0,0.001293816,0,0,1.31E-11,0.923765421,0.431431993,0,0,8.892213137,1.245325222,2.899440065,0,0,0,0,0,0,0.978085379,0,0,0,0,0,0,0,0,0,0,0,0,0.671992296,1.19E-09,2.92E-08,0,0,20.98928834,0.003203863,0,0,1.59E-07,2.86E-11,0,0,2.68E-09,0,0.009447971,0,0,0,0,0.881985214,1.49E-09,1.60E-10,0,0,0,0,0,0,0,0.947714236,0
cell_5,0,0.487821962,0,8.944164248,0.028241421,5.478559402,0,5.22E-07,1.043967782,0.328684692,0,0.021994244,2.083367607,0.981119348,0,0,2.205954689,0.875378156,0,0,1.565320824,0,0.009597729,0,0,0.000234375,0.007415945,0.006586899,1.562379962,0,4.00034002,0,0,0.001547434,0,0,0,0,0,1.809581232,0.856671116,0.055379066,0,1.01474388,0,0,0,0.761584135,0,0,0.950890639,3.329633919,0,1.206039416,3.851091888,0,0.010647429,0.037211356,3.446448899,0.278793288,4.510091208,0,0.982219254,0,0,0,0,0.264940225,0.017570643,0.027906698
cell_6,0.000811382,0.547364232,0,0.436909868,0,0.417805851,0,0.498419605,0.687851304,0,0,0.646470845,0.004074915,0.000114225,0,0,0.069115437,0.142583987,2.08E-12,0,0.060374389,0,0.078699014,0,0,0.001768811,0.734744626,0.135667699,0.001228518,0,0.072119157,0,0,0,0,0,0,0,0.587200144,0.396233779,0.196415864,0.006903502,0,0.012472428,0,0,0,0,0,0.000665653,0.129346728,0.030741308,2.09E-05,0.085493948,0.01015983,0.001320132,0,0,0.007557058,0.016267892,0.002348898,0,7.68E-06,0.002698012,0,0,0.000915278,1.42E-07,5.35E-13,0
cell_7,0,0.484289778,0,0.014288388,0.766103892,2.261872598,0,0.255948074,2.229374243,0.002660541,0,0.976151075,3.590024758,0.86998432,0,0,0.360297016,0.977799684,0,0,0.000159571,0,0,0,0,0,0,0,0.205507209,0,0.004212104,0,0,0.9809249,0,0,0,0,0,0.647749875,3.855643494,0.000324271,0,0.000253255,0,0,0,0.063444496,0,8.81E-10,1.842435468,0.992307647,0,0.076045976,0.004163228,0,0.876622418,0.907127886,4.285028974,11.24626412,0.381296634,0,0.005382775,0,0,0,1.25E-06,0.614093113,1.842200718,0.816334469
cell_8,0.911399631,0.313809242,0,0.400387907,0,2.338686467,0,0.221366237,6.863357315,0,0,0.18202302,2.633300782,0.000259494,0,0,0.391284333,3.788142554,0.852742876,0,3.157119698,0,2.815223584,0,0,0.764549671,0.090321943,1.763688733,0.981317514,0,6.822381202,0,0,0,0,0.834638387,0,0,0.009478494,0.774396532,9.789136999,2.735443252,0.941178644,2.42724198,0,0,0,0,0.871328662,0.942715197,0.602871867,9.471984374,0,10.38841449,1.646736866,0.959931253,0.946218293,0,1.954537156,0.001137488,1.019522311,0,0,3.882606808,0,0,2.803153343,0,0,0
cell_9,1.47E-07,0.583244021,0,0,0,0.001252399,0,0,0.003328363,0,0,6.37E-05,1.608816193,0.000670275,0,0,0.000118124,0.635655615,0.000766924,0,4.91E-05,0,0,0,0,0,0,0,1.26E-08,0,0.669604265,0,0,0.366002207,0,2.12E-07,0,0,0,0.079065228,0.791840875,0.001177391,0,0.005965347,0.035074999,1.91E-06,0,0.000146735,8.97E-06,0.001116947,0.036603564,3.06E-06,0.495560698,0.575701663,1.07E-07,0.309605981,0,0,0.000766369,0.005639536,1.50E-06,0,0,0,0,0.000378779,0.000102109,0,9.67E-07,0
cell_10,0.00283824,2.73E-09,0,0.017110933,0,0.001610691,0,0,0.005498317,1.274839386,0,0,0.036125505,0,0,0,6.696053,1.78E-09,0.000691437,0,3.31E-14,0,0,0,0,0,0,4.57E-13,0,0,2.49E-10,0,0,0.056623607,0,0,0,0,1.36E-10,0.003446053,0.00348056,0.150499051,0,7.926841795,0.005705835,0,0,0.071911088,0,0,0.002285367,0,0,0,0.827144128,0,0.007338812,0,0.753957515,0.204550627,0,0,0,0,0,0,0,0,6.74E-06,0
