,Calb2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Plp1_class,Rgs4_class,Satb1_class,Sncg_class,Zero
Bcl11b,0.1313356058934607,0.07601922529976787,0.1015285464759446,0.590606033986235,0.20444795456801967,0.2978080641781857,0.1962087958888979,0.5554640541726823,0.34020499207235416,0.21841795285654797,0.3827194174880941,0.17522002318292804,0.028336561429073766
Cadps2,0.036632917105491,0.23467199034742045,1.1013420490573147,2.24653781440915,1.3228373939000573,1.0254667873828471,2.415688033791323,0.5272764697458132,0.8042428289386304,0.294098978635005,0.6296900266926863,0.5216909325130127,0.06979371601174743
Calb1,0.31793062378075004,0.005699325900481926,0.016278790245739957,0.001699345416549864,0.0,0.0,0.0002550951558641401,0.0,0.0,0.024494535732303493,0.023355952004639184,0.0,0.0022161847995651324
Calb2,4.583555061512681,0.07918405014766078,0.014178391936071523,0.13737963265541345,0.18297933912149875,2.325604959532355,4.452097262429553,0.13771164831123797,0.1284954778567784,0.019659684586546194,0.5003185099664325,0.10275694096379788,0.0401847592687329
Cck,0.0,0.009853993252117707,0.017845695308977658,0.02029063558006103,0.0,0.0009738421016738227,0.32522065985943066,0.06580687545123849,0.0,0.02774926855320879,0.026613250063034655,0.0,0.0002105080984894396
Cdh13,0.02338069040123932,0.23559709665791773,1.7230138925737266,1.040974225515843,1.4350166651943081,0.96242824568929,0.907920183428174,2.6639952586896056,0.19531310491626433,4.140090659616525,0.382264053601963,5.34698266437466,0.06857612489027184
Chodl,0.0,0.0030933380348666427,0.00026159081173575903,0.0,0.18004653570440898,0.0,0.0,0.0,0.25121484289326595,0.10688205534240583,0.005673877117192216,0.21430159115391811,0.00015641643697744177
Chrm2,0.3930733527172566,0.1351169679481782,0.6169084565463453,0.33247635832962075,1.8754287134907623,0.061539710612588075,1.8766115077160777,0.48381876738641993,1.3732698740840938,0.6880216442178202,0.44696698695899273,0.7462327681107731,0.025969089350837003
Cnr1,1.0355291847851296,0.7210379712109293,2.6495697941797047,2.3522266809657078,3.155570903071041,4.230669625287984,3.0565847216218427,4.504524387659962,1.9548328438818368,2.0152487883704078,1.9406459459794343,2.6105875627045525,0.1153941873027402
Col25a1,0.39865671546606557,0.09313628978535683,0.01785388581403546,1.0435567281601377,0.10506200384626489,0.10937516259524391,0.20210375773717967,1.0869213187598112,0.21932218334914838,0.025806272920316214,0.17733455918344887,0.07609138002442616,0.03523074094267305
Cort,0.06480567157887399,0.0012847928606270665,0.034322085625978445,0.04013270581980909,0.0006990414054429424,8.934469881826011e-05,0.06357644819232737,0.0008647886463651623,0.10261800854750211,0.009917077416857762,0.0,0.15982324998234573,0.0
Cox6a2,0.08041727998013652,0.06753823448068774,0.0861638901089945,0.07386735724516373,0.09535673026168678,0.19289272630785081,0.282322586287608,0.07596551862908517,0.0,1.155372300738741,0.1585912408111594,0.8521291992711982,0.011058144442517967
Cplx2,1.2571854498438024,0.5576529738526286,0.5952932364685513,2.2863893074857753,1.629950498914242,2.040247057250757,3.724852399722129,2.2329069822269902,1.4358646128070822,2.5358167189937273,1.7554479756207169,3.4692334284450292,0.15217856368518654
Cpne5,0.14228591391932768,0.06644333310621171,0.037585899056504,0.4077120705602235,0.0848660965034088,0.5063486136845865,0.2664094611228031,0.8271604229893855,0.0,0.36691909923904864,0.39102346517344505,0.8858239083779335,0.026851342988645624
Crh,0.0,0.002485687193666426,0.0,0.0,0.0,0.03105961800049381,0.0,0.10649342607355239,0.0,0.07969126485058055,0.026440214711035425,0.13857021046259202,0.0016508177007355297
Crhbp,0.06962011605058495,0.0023863022847039647,0.013549772251186764,0.06390312800516965,0.0,0.16242222959848818,0.05564223476915949,0.0524005613217136,0.0,0.0,0.016965767442654326,0.0773299255726676,0.002260264107199629
Cryab,0.825392757201536,3.382707138295211,0.7965340818529701,0.449186480498897,1.1432767263512675,3.030660804830663,7.1650048293544115,0.30083988215228774,6.084077835792955,0.3913566798160882,0.8305673929470495,6.270763662813379,0.24382101283456417
Cxcl14,0.9583702652464913,1.1210439553936464,1.005204882681109,0.5201559867692137,0.6206582901377845,0.16974339094987229,0.9579225346295414,1.2298589614680233,0.676030687380684,0.481422026030242,1.428116184803424,0.7101121480614404,0.2579034175850477
