cell_id	coords
1	[[34, 1288], [32, 1279], [31, 1269], [31, 1259], [33, 1250], [36, 1242], [41, 1234], [46, 1227], [53, 1221], [60, 1217], [68, 1214], [76, 1213], [84, 1213], [93, 1215], [101, 1218], [109, 1223], [116, 1229], [122, 1236], [127, 1244], [132, 1253], [134, 1262], [136, 1272], [136, 1282], [135, 1291], [133, 1300], [129, 1308], [124, 1316], [118, 1322], [111, 1327], [104, 1330], [96, 1332], [87, 1333], [79, 1332], [70, 1329], [62, 1325], [55, 1320], [48, 1313], [42, 1306], [38, 1297], [34, 1288]]
2	[[110, 1250], [116, 1241], [124, 1232], [132, 1225], [140, 1219], [150, 1214], [159, 1212], [168, 1210], [177, 1211], [186, 1213], [194, 1217], [201, 1223], [206, 1229], [211, 1238], [214, 1247], [216, 1257], [216, 1267], [214, 1278], [211, 1288], [207, 1299], [201, 1308], [195, 1317], [187, 1325], [179, 1332], [170, 1337], [160, 1341], [151, 1343], [142, 1343], [133, 1342], [125, 1339], [117, 1334], [111, 1328], [106, 1320], [102, 1312], [100, 1302], [99, 1292], [99, 1281], [102, 1271], [105, 1260], [110, 1250]]
3	[[183, 1209], [177, 1216], [170, 1222], [162, 1228], [153, 1231], [143, 1234], [134, 1234], [124, 1234], [114, 1231], [105, 1228], [97, 1222], [89, 1216], [83, 1208], [78, 1200], [74, 1191], [72, 1181], [71, 1172], [72, 1162], [75, 1153], [79, 1144], [84, 1136], [91, 1129], [99, 1123], [107, 1119], [117, 1116], [126, 1114], [136, 1114], [146, 1116], [155, 1119], [164, 1123], [172, 1129], [179, 1136], [184, 1144], [189, 1153], [192, 1162], [193, 1172], [193, 1182], [191, 1191], [188, 1200], [183, 1209]]
4	[[136, 1414], [143, 1407], [151, 1400], [159, 1394], [169, 1390], [179, 1388], [188, 1387], [198, 1388], [207, 1390], [215, 1394], [223, 1400], [230, 1406], [235, 1414], [239, 1423], [241, 1432], [242, 1442], [241, 1452], [239, 1462], [235, 1472], [230, 1481], [224, 1489], [216, 1496], [208, 1502], [198, 1507], [189, 1510], [179, 1512], [169, 1512], [160, 1511], [151, 1507], [143, 1503], [136, 1497], [130, 1490], [126, 1481], [122, 1472], [121, 1463], [121, 1453], [122, 1443], [125, 1433], [130, 1423], [136, 1414]]
5	[[285, 1296], [279, 1302], [271, 1307], [263, 1311], [254, 1314], [244, 1315], [234, 1314], [224, 1312], [215, 1308], [205, 1303], [197, 1297], [189, 1289], [183, 1281], [178, 1272], [174, 1263], [172, 1253], [172, 1243], [173, 1234], [176, 1225], [180, 1218], [185, 1210], [192, 1205], [200, 1200], [209, 1197], [218, 1195], [228, 1195], [238, 1197], [248, 1200], [257, 1204], [266, 1210], [274, 1217], [281, 1224], [287, 1233], [291, 1242], [294, 1252], [296, 1261], [295, 1271], [293, 1280], [290, 1288], [285, 1296]]
6	[[286, 1311], [288, 1319], [288, 1329], [286, 1337], [283, 1346], [279, 1354], [273, 1361], [266, 1367], [259, 1372], [250, 1376], [242, 1379], [232, 1380], [223, 1379], [214, 1378], [206, 1374], [198, 1370], [191, 1364], [185, 1357], [180, 1350], [176, 1341], [174, 1332], [174, 1323], [175, 1314], [177, 1306], [181, 1297], [186, 1290], [192, 1283], [199, 1277], [207, 1273], [216, 1270], [225, 1268], [234, 1268], [243, 1269], [252, 1271], [260, 1275], [268, 1280], [274, 1287], [279, 1294], [284, 1302], [286, 1311]]
7	[[268, 1169], [272, 1178], [275, 1187], [276, 1197], [276, 1207], [274, 1217], [270, 1227], [264, 1236], [257, 1245], [249, 1252], [240, 1259], [230, 1264], [220, 1267], [209, 1269], [198, 1269], [188, 1268], [178, 1265], [169, 1260], [161, 1254], [154, 1247], [149, 1239], [145, 1229], [143, 1220], [143, 1210], [144, 1199], [148, 1189], [152, 1180], [158, 1171], [166, 1163], [175, 1156], [184, 1150], [194, 1146], [205, 1143], [216, 1142], [226, 1143], [236, 1145], [246, 1149], [254, 1154], [262, 1161], [268, 1169]]
8	[[222, 1358], [220, 1346], [219, 1334], [219, 1323], [221, 1312], [224, 1301], [229, 1292], [235, 1284], [242, 1278], [250, 1273], [258, 1271], [267, 1270], [276, 1271], [285, 1274], [294, 1278], [303, 1284], [310, 1292], [317, 1301], [323, 1312], [327, 1323], [330, 1334], [332, 1346], [333, 1358], [331, 1369], [329, 1380], [325, 1389], [319, 1398], [313, 1405], [306, 1410], [297, 1414], [289, 1416], [280, 1416], [270, 1414], [261, 1410], [253, 1405], [245, 1398], [237, 1389], [231, 1380], [226, 1369], [222, 1358]]
9	[[248, 1641], [245, 1632], [243, 1623], [242, 1613], [243, 1604], [246, 1595], [250, 1586], [255, 1579], [261, 1572], [268, 1567], [276, 1562], [285, 1560], [294, 1559], [303, 1559], [312, 1561], [321, 1564], [329, 1569], [336, 1575], [343, 1582], [348, 1590], [352, 1599], [355, 1608], [356, 1617], [356, 1627], [354, 1636], [351, 1645], [346, 1653], [341, 1660], [334, 1666], [326, 1671], [318, 1674], [309, 1676], [300, 1677], [291, 1676], [282, 1673], [274, 1669], [266, 1664], [259, 1657], [253, 1650], [248, 1641]]
10	[[244, 1237], [242, 1227], [241, 1216], [242, 1206], [244, 1196], [247, 1187], [252, 1178], [258, 1171], [265, 1165], [273, 1160], [281, 1157], [290, 1156], [299, 1157], [309, 1159], [317, 1162], [326, 1168], [333, 1174], [340, 1182], [345, 1191], [350, 1201], [353, 1211], [354, 1222], [354, 1232], [353, 1242], [350, 1252], [346, 1261], [341, 1269], [334, 1276], [327, 1281], [319, 1285], [310, 1287], [301, 1287], [292, 1286], [283, 1283], [274, 1278], [266, 1272], [259, 1265], [253, 1257], [248, 1247], [244, 1237]]
11	[[256, 1527], [254, 1516], [254, 1505], [256, 1494], [259, 1483], [264, 1473], [270, 1465], [278, 1457], [286, 1451], [295, 1447], [305, 1444], [316, 1443], [326, 1444], [336, 1446], [346, 1451], [355, 1456], [363, 1464], [370, 1472], [375, 1482], [380, 1492], [382, 1503], [383, 1514], [382, 1525], [380, 1536], [376, 1546], [370, 1555], [363, 1563], [355, 1570], [346, 1575], [337, 1579], [327, 1581], [316, 1581], [306, 1579], [296, 1576], [287, 1571], [278, 1564], [271, 1556], [264, 1547], [259, 1537], [256, 1527]]
12	[[300, 1766], [294, 1759], [290, 1750], [287, 1741], [285, 1732], [285, 1723], [286, 1714], [289, 1706], [293, 1698], [298, 1691], [304, 1686], [312, 1681], [320, 1678], [328, 1676], [337, 1676], [346, 1677], [355, 1680], [363, 1684], [371, 1690], [378, 1696], [384, 1704], [389, 1712], [393, 1720], [395, 1730], [396, 1739], [396, 1748], [394, 1756], [390, 1764], [386, 1772], [380, 1778], [373, 1783], [366, 1787], [357, 1789], [349, 1790], [340, 1790], [331, 1788], [322, 1784], [314, 1779], [306, 1773], [300, 1766]]
13	[[396, 1381], [401, 1388], [405, 1397], [407, 1406], [407, 1415], [406, 1424], [404, 1433], [400, 1442], [394, 1450], [388, 1457], [380, 1464], [372, 1468], [363, 1472], [354, 1474], [344, 1475], [335, 1474], [326, 1472], [317, 1468], [310, 1463], [303, 1457], [297, 1450], [293, 1442], [290, 1433], [289, 1424], [289, 1415], [291, 1405], [295, 1396], [299, 1388], [305, 1380], [312, 1374], [320, 1368], [329, 1364], [338, 1361], [347, 1359], [357, 1359], [366, 1361], [375, 1364], [383, 1368], [390, 1374], [396, 1381]]
14	[[419, 1334], [421, 1342], [422, 1351], [422, 1359], [420, 1368], [416, 1376], [411, 1384], [405, 1391], [398, 1397], [390, 1402], [382, 1406], [372, 1408], [363, 1410], [354, 1410], [345, 1408], [336, 1406], [328, 1402], [321, 1396], [315, 1390], [311, 1383], [308, 1375], [306, 1367], [306, 1359], [307, 1350], [310, 1342], [314, 1334], [319, 1326], [326, 1320], [334, 1314], [342, 1310], [351, 1306], [360, 1304], [370, 1304], [379, 1304], [388, 1306], [396, 1310], [403, 1314], [410, 1320], [415, 1327], [419, 1334]]
