Cell_Num	X	Y	X_0	Y_0	Genenames	CellGeneCount	ClassName	Prob	rho	sigma_x	sigma_y	ellipsoid_border
1	84.16284054209882	1273.4124744102166	85.45934165038328	1272.846535397565	['Cck', 'Cnr1', 'Cplx2', 'Cryab', 'Cxcl14', 'Grin3a', 'Id2', 'Lhx6', 'Npy2r', 'Pcp4', 'Pde1a', 'Penk', 'Plp1', 'Rasgrf2', 'Reln', 'Rgs10', 'Rgs4', 'Satb1', 'Sncg', 'Sst', 'Trp53i11']	[0.8688532660151693, 2.9454322721922566, 0.4420052945117057, 1.9235134777592293, 1.0370079968514188, 0.9312761895522487, 0.02409836179557038, 1.944026790279684, 0.6784906317876457, 1.3648832602374423, 3.6561642044322777, 1.9390181503907993, 0.9445587022876243, 0.84914850641824, 2.9249015172311195, 1.9131682925506532, 0.0025121374197664475, 0.974487443880156, 0.7980182327296383, 1.8930040356668338, 2.834259254045551]	['Cryab_class', 'Satb1_class']	[0.9783008659166004, 0.0215440580237376]	0.09049839897618621	17.56018228984059	20.044266638939895	[[34, 1288], [32, 1279], [31, 1269], [31, 1259], [33, 1250], [36, 1242], [41, 1234], [46, 1227], [53, 1221], [60, 1217], [68, 1214], [76, 1213], [84, 1213], [93, 1215], [101, 1218], [109, 1223], [116, 1229], [122, 1236], [127, 1244], [132, 1253], [134, 1262], [136, 1272], [136, 1282], [135, 1291], [133, 1300], [129, 1308], [124, 1316], [118, 1322], [111, 1327], [104, 1330], [96, 1332], [87, 1333], [79, 1332], [70, 1329], [62, 1325], [55, 1320], [48, 1313], [42, 1306], [38, 1297], [34, 1288]]
2	157.76667611638464	1277.3026303342604	145.60320134793596	1313.6461668070767	['Cdh13', 'Cnr1', 'Cplx2', 'Cxcl14', 'Grin3a', 'Id2', 'Lhx6', 'Ntng1', 'Pcp4', 'Pde1a', 'Penk', 'Plp1', 'Reln', 'Rgs10', 'Rgs12', 'Rgs4', 'Satb1', 'Snca', 'Sncg', 'Sst', 'Trp53i11']	[0.7855569648937593, 0.01229502727809628, 3.627984802287235, 0.0034008380227439124, 0.0015801857119715484, 1.889180393447469, 0.972319429086246, 0.012005898976399854, 0.13367450066445638, 0.2862301023664977, 0.00798720838880225, 0.9825456630910777, 0.1058728786758105, 0.005428584190156482, 0.8537029332326144, 0.7667872152683555, 1.0209505901234355, 2.6839926939527605, 3.7020246370802585, 0.004613581656120019, 0.6654649485822118]	['Cryab_class']	[0.9998580980439629]	-0.21716773482236007	19.49226077146735	22.15566535991284	[[110, 1250], [116, 1241], [124, 1232], [132, 1225], [140, 1219], [150, 1214], [159, 1212], [168, 1210], [177, 1211], [186, 1213], [194, 1217], [201, 1223], [206, 1229], [211, 1238], [214, 1247], [216, 1257], [216, 1267], [214, 1278], [211, 1288], [207, 1299], [201, 1308], [195, 1317], [187, 1325], [179, 1332], [170, 1337], [160, 1341], [151, 1343], [142, 1343], [133, 1342], [125, 1339], [117, 1334], [111, 1328], [106, 1320], [102, 1312], [100, 1302], [99, 1292], [99, 1281], [102, 1271], [105, 1260], [110, 1250]]
3	132.78744457141542	1174.662774186772	151.28882352941176	1155.050588235294	['Cck', 'Cdh13', 'Chrm2', 'Cnr1', 'Col25a1', 'Cplx2', 'Cxcl14', 'Gad1', 'Kit', 'Lhx6', 'Pcp4', 'Pde1a', 'Rasgrf2', 'Rgs4', 'Satb1', 'Serpini1', 'Snca', 'Sncg', 'Trp53i11', 'Wfs1', 'Yjefn3']	[0.0010146399252591246, 0.9394551955964513, 1.064353040640432, 1.5350350501260306, 0.898273458134469, 0.16448027925850725, 2.127152968914082, 0.952405042861692, 0.0029561002365535625, 0.9682723049411696, 1.8914778348271943, 0.004064094582130364, 0.051703683856915685, 1.8097469252123664, 0.8103701068888052, 0.9445717308280989, 1.9252555294473874, 0.16334460384801908, 0.9652086222974996, 0.006906391887360957, 0.0043649504401663515]	['Cryab_class']	[0.9999891584732619]	0.02313666137658533	20.29485540369583	20.107869926833764	[[183, 1209], [177, 1216], [170, 1222], [162, 1228], [153, 1231], [143, 1234], [134, 1234], [124, 1234], [114, 1231], [105, 1228], [97, 1222], [89, 1216], [83, 1208], [78, 1200], [74, 1191], [72, 1181], [71, 1172], [72, 1162], [75, 1153], [79, 1144], [84, 1136], [91, 1129], [99, 1123], [107, 1119], [117, 1116], [126, 1114], [136, 1114], [146, 1116], [155, 1119], [164, 1123], [172, 1129], [179, 1136], [184, 1144], [189, 1153], [192, 1162], [193, 1172], [193, 1182], [191, 1191], [188, 1200], [183, 1209]]
4	181.78846426399113	1450.2595477971217	178.72581898945032	1466.7572459744586	['Calb2', 'Cdh13', 'Cnr1', 'Cplx2', 'Cpne5', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Ntng1', 'Plp1', 'Pnoc', 'Rgs4', 'Snca', 'Wfs1']	[0.7897315780115708, 0.8678422069585104, 0.001293815825955581, 0.9237654208781151, 0.4314319929499407, 8.892213136645582, 1.2453252219751367, 2.899440064841247, 0.9780853786637765, 0.6719922959831016, 20.989288341432587, 0.0032038633636784384, 0.009447971442563447, 0.8819852142656187, 0.9477142361265467]	['Cryab_class']	[0.9999999999999463]	-0.11990970647643867	20.223460551161523	20.862792903570767	[[136, 1414], [143, 1407], [151, 1400], [159, 1394], [169, 1390], [179, 1388], [188, 1387], [198, 1388], [207, 1390], [215, 1394], [223, 1400], [230, 1406], [235, 1414], [239, 1423], [241, 1432], [242, 1442], [241, 1452], [239, 1462], [235, 1472], [230, 1481], [224, 1489], [216, 1496], [208, 1502], [198, 1507], [189, 1510], [179, 1512], [169, 1512], [160, 1511], [151, 1507], [143, 1503], [136, 1497], [130, 1490], [126, 1481], [122, 1472], [121, 1463], [121, 1453], [122, 1443], [125, 1433], [130, 1423], [136, 1414]]
5	234.16824582398846	1255.3178248280783	253.8181736634374	1241.9435773232867	['Cadps2', 'Calb2', 'Cck', 'Cdh13', 'Cnr1', 'Col25a1', 'Cox6a2', 'Cplx2', 'Cpne5', 'Cryab', 'Cxcl14', 'Gad1', 'Grin3a', 'Kcnk2', 'Kctd12', 'Kit', 'Lhx6', 'Nos1', 'Pcp4', 'Pde1a', 'Penk', 'Plp1', 'Pvalb', 'Reln', 'Rgs10', 'Rgs4', 'Satb1', 'Serpini1', 'Slc17a8', 'Snca', 'Sncg', 'Sst', 'Tac1', 'Vip', 'Wfs1', 'Yjefn3']	[0.4878219616144144, 8.944164247516163, 0.02824142094854086, 5.478559401700535, 1.0439677818341306, 0.3286846916565436, 0.021994244473146768, 2.0833676067717106, 0.9811193478740128, 2.20595468916925, 0.8753781557972061, 1.5653208238279452, 0.009597728530756102, 0.007415945174606902, 0.006586898993630174, 1.5623799620086674, 4.000340019948256, 0.0015474341062610684, 1.8095812320038998, 0.8566711155195021, 0.05537906620672568, 1.0147438803445765, 0.7615841351862647, 0.9508906389836067, 3.329633918677438, 1.2060394157145646, 3.8510918877406786, 0.01064742884355053, 0.03721135554637407, 3.446448899449849, 0.278793288165342, 4.510091207582997, 0.9822192537822197, 0.2649402245646722, 0.01757064257384295, 0.027906698151656844]	['Lhx6_class']	[0.9999970896033933]	0.1593855325078771	20.65990208592628	19.92253078339392	[[285, 1296], [279, 1302], [271, 1307], [263, 1311], [254, 1314], [244, 1315], [234, 1314], [224, 1312], [215, 1308], [205, 1303], [197, 1297], [189, 1289], [183, 1281], [178, 1272], [174, 1263], [172, 1253], [172, 1243], [173, 1234], [176, 1225], [180, 1218], [185, 1210], [192, 1205], [200, 1200], [209, 1197], [218, 1195], [228, 1195], [238, 1197], [248, 1200], [257, 1204], [266, 1210], [274, 1217], [281, 1224], [287, 1233], [291, 1242], [294, 1252], [296, 1261], [295, 1271], [293, 1280], [290, 1288], [285, 1296]]
6	231.3649421131473	1324.237468479675	207.2971151253707	1316.9805877595038	['Cadps2', 'Calb2', 'Cdh13', 'Chrm2', 'Cnr1', 'Cox6a2', 'Cplx2', 'Cryab', 'Cxcl14', 'Gad1', 'Grin3a', 'Id2', 'Kcnk2', 'Kctd12', 'Kit', 'Lhx6', 'Ntng1', 'Pcp4', 'Pde1a', 'Penk', 'Plp1', 'Reln', 'Rgs10', 'Rgs4', 'Satb1', 'Sema3c', 'Snca', 'Sncg', 'Sst', 'Tac2']	[0.5473642323349363, 0.4369098683714282, 0.4178058505278733, 0.4984196047460168, 0.6878513042510624, 0.646470844849621, 0.004074914602728596, 0.06911543729494465, 0.14258398650689863, 0.06037438920417896, 0.07869901375491795, 0.001768811032363856, 0.7347446263096392, 0.13566769907401766, 0.0012285180956031426, 0.0721191570266859, 0.5872001438188214, 0.3962337786947202, 0.19641586370875092, 0.0069035020988283905, 0.012472428275797824, 0.129346728434296, 0.030741307780428252, 0.0854939479458262, 0.010159830406571552, 0.001320131805572629, 0.00755705806478597, 0.016267892333198957, 0.0023488977501438975, 0.0026980119425890764]	['Zero']	[0.9999966969875653]	-0.008282161747202843	19.026701957187623	18.715721927483056	[[286, 1311], [288, 1319], [288, 1329], [286, 1337], [283, 1346], [279, 1354], [273, 1361], [266, 1367], [259, 1372], [250, 1376], [242, 1379], [232, 1380], [223, 1379], [214, 1378], [206, 1374], [198, 1370], [191, 1364], [185, 1357], [180, 1350], [176, 1341], [174, 1332], [174, 1323], [175, 1314], [177, 1306], [181, 1297], [186, 1290], [192, 1283], [199, 1277], [207, 1273], [216, 1270], [225, 1268], [234, 1268], [243, 1269], [252, 1271], [260, 1275], [268, 1280], [274, 1287], [279, 1294], [284, 1302], [286, 1311]]
7	210.1513477310984	1206.344322438876	227.2916358253146	1159.8560325684678	['Cadps2', 'Calb2', 'Cck', 'Cdh13', 'Chrm2', 'Cnr1', 'Col25a1', 'Cox6a2', 'Cplx2', 'Cpne5', 'Cryab', 'Cxcl14', 'Kit', 'Lhx6', 'Nos1', 'Pcp4', 'Pde1a', 'Pvalb', 'Reln', 'Rgs10', 'Rgs4', 'Satb1', 'Serpini1', 'Slc17a8', 'Snca', 'Sncg', 'Sst', 'Tac1', 'Vip', 'Wfs1', 'Yjefn3']	[0.4842897783739069, 0.014288388168895268, 0.7661038917465822, 2.261872597598014, 0.2559480739977149, 2.2293742429666663, 0.0026605411071380374, 0.9761510746651617, 3.5900247577247804, 0.8699843198622405, 0.3602970162171025, 0.977799684334762, 0.20550720897811048, 0.004212103723739422, 0.9809249003196276, 0.6477498752771055, 3.855643493779334, 0.06344449604159327, 1.8424354679636976, 0.9923076474900329, 0.07604597612893424, 0.00416322845218732, 0.8766224181828645, 0.9071278858175569, 4.2850289739476946, 11.246264123121183, 0.38129663434774935, 0.0053827745750220255, 0.6140931125353537, 1.8422007183634896, 0.8163344693845037]	['Rgs4_class']	[0.9999824480052707]	-0.10997058066151418	22.246673622722124	21.13256541276418	[[268, 1169], [272, 1178], [275, 1187], [276, 1197], [276, 1207], [274, 1217], [270, 1227], [264, 1236], [257, 1245], [249, 1252], [240, 1259], [230, 1264], [220, 1267], [209, 1269], [198, 1269], [188, 1268], [178, 1265], [169, 1260], [161, 1254], [154, 1247], [149, 1239], [145, 1229], [143, 1220], [143, 1210], [144, 1199], [148, 1189], [152, 1180], [158, 1171], [166, 1163], [175, 1156], [184, 1150], [194, 1146], [205, 1143], [216, 1142], [226, 1143], [236, 1145], [246, 1149], [254, 1154], [262, 1161], [268, 1169]]
8	276.0815609544432	1343.464681076501	274.4253263707572	1341.5137075718017	['Bcl11b', 'Cadps2', 'Calb2', 'Cdh13', 'Chrm2', 'Cnr1', 'Cox6a2', 'Cplx2', 'Cryab', 'Cxcl14', 'Enpp2', 'Gad1', 'Grin3a', 'Id2', 'Kcnk2', 'Kctd12', 'Kit', 'Lhx6', 'Npy2r', 'Ntng1', 'Pcp4', 'Pde1a', 'Penk', 'Plcxd2', 'Plp1', 'Rab3c', 'Rasgrf2', 'Reln', 'Rgs10', 'Rgs4', 'Satb1', 'Sema3c', 'Serpini1', 'Snca', 'Sncg', 'Sst', 'Tac2', 'Trp53i11']	[0.9113996309387264, 0.31380924235748603, 0.4003879066874135, 2.3386864665804796, 0.22136623740708972, 6.86335731493674, 0.18202302002120507, 2.6333007817144143, 0.39128433267607987, 3.7881425535804394, 0.8527428759783217, 3.1571196979910234, 2.815223583961116, 0.7645496709178881, 0.09032194327633733, 1.7636887325896566, 0.9813175144237972, 6.822381202426605, 0.8346383872968222, 0.009478494277302376, 0.7743965323088752, 9.78913699867448, 2.735443252433761, 0.9411786440619745, 2.4272419796665083, 0.8713286622204248, 0.9427151965782892, 0.6028718669357831, 9.471984374494022, 10.388414488290945, 1.6467368655603518, 0.9599312534500997, 0.9462182929152776, 1.9545371559985216, 0.0011374882583387639, 1.019522311059804, 3.8826068084728016, 2.8031533427647783]	['Pde1a_class']	[0.9999902457069948]	0.14972227169936878	18.999012963871973	24.410336698348033	[[222, 1358], [220, 1346], [219, 1334], [219, 1323], [221, 1312], [224, 1301], [229, 1292], [235, 1284], [242, 1278], [250, 1273], [258, 1271], [267, 1270], [276, 1271], [285, 1274], [294, 1278], [303, 1284], [310, 1292], [317, 1301], [323, 1312], [327, 1323], [330, 1334], [332, 1346], [333, 1358], [331, 1369], [329, 1380], [325, 1389], [319, 1398], [313, 1405], [306, 1410], [297, 1414], [289, 1416], [280, 1416], [270, 1414], [261, 1410], [253, 1405], [245, 1398], [237, 1389], [231, 1380], [226, 1369], [222, 1358]]
9	299.64102306928424	1618.1503859034938	298.7926232183658	1639.7759764987488	['Cadps2', 'Cdh13', 'Cnr1', 'Cplx2', 'Cxcl14', 'Lhx6', 'Nos1', 'Pcp4', 'Pde1a', 'Penk', 'Plp1', 'Pnoc', 'Rasgrf2', 'Reln', 'Rgs12', 'Rgs4', 'Sema3c', 'Sncg']	[0.5832440207450957, 0.0012523986236168496, 0.003328362695738353, 1.6088161934159635, 0.6356556151414923, 0.669604264987594, 0.36600220680191653, 0.07906522774003265, 0.7918408746368687, 0.0011773907730262612, 0.0059653469034207695, 0.035074998851135276, 0.0011169473065174593, 0.03660356375667861, 0.4955606984813292, 0.5757016625807178, 0.30960598111049664, 0.0056395358110427314]	['Zero']	[0.9999071585783429]	0.04959695612089364	18.923580009469116	19.737418950131623	[[248, 1641], [245, 1632], [243, 1623], [242, 1613], [243, 1604], [246, 1595], [250, 1586], [255, 1579], [261, 1572], [268, 1567], [276, 1562], [285, 1560], [294, 1559], [303, 1559], [312, 1561], [321, 1564], [329, 1569], [336, 1575], [343, 1582], [348, 1590], [352, 1599], [355, 1608], [356, 1617], [356, 1627], [354, 1636], [351, 1645], [346, 1653], [341, 1660], [334, 1666], [326, 1671], [318, 1674], [309, 1676], [300, 1677], [291, 1676], [282, 1673], [274, 1669], [266, 1664], [259, 1657], [253, 1650], [248, 1641]]
10	298.323662203758	1222.1100310102845	299.6369304556355	1156.472901678657	['Bcl11b', 'Calb2', 'Cdh13', 'Cnr1', 'Col25a1', 'Cplx2', 'Cryab', 'Nos1', 'Pcp4', 'Pde1a', 'Penk', 'Plp1', 'Pnoc', 'Pvalb', 'Reln', 'Satb1', 'Serpini1', 'Snca', 'Sncg']	[0.002838240074168656, 0.017110932555010935, 0.0016106906888159187, 0.005498316994748002, 1.2748393860893243, 0.03612550525681914, 6.696052999851293, 0.056623607403705464, 0.0034460530371561407, 0.0034805602655360443, 0.15049905052042578, 7.9268417949419465, 0.005705834513298457, 0.07191108815239082, 0.0022853674213973753, 0.827144128445082, 0.0073388117591343775, 0.7539575150619388, 0.20455062665090643]	['Cryab_class']	[0.99999999995302]	0.09246739976124956	18.901014293494846	21.833361557440483	[[244, 1237], [242, 1227], [241, 1216], [242, 1206], [244, 1196], [247, 1187], [252, 1178], [258, 1171], [265, 1165], [273, 1160], [281, 1157], [290, 1156], [299, 1157], [309, 1159], [317, 1162], [326, 1168], [333, 1174], [340, 1182], [345, 1191], [350, 1201], [353, 1211], [354, 1222], [354, 1232], [353, 1242], [350, 1252], [346, 1261], [341, 1269], [334, 1276], [327, 1281], [319, 1285], [310, 1287], [301, 1287], [292, 1286], [283, 1283], [274, 1278], [266, 1272], [259, 1265], [253, 1257], [248, 1247], [244, 1237]]
